Tue Apr 20 04:37:32 +0000 2021,"b""Excuse me @JioCare!\nWe hv @reliancejio's SMB plan. We r facing frequent disconnection &amp; low speed since Day 1. We are not getting static IP as promised. Also, we are not getting proper service.\nMy SRN is ES00000029H3\nPlease help!\n#WithLoveFromJio #JioTogether #JioDigitalLife #Jio"""

Tue Apr 20 04:37:33 +0000 2021,b'RT @tdptrending: \xe2\x80\x9cOne of the most inspiring leaders of modern India Meeting him is like plugging into a\rpowerpack: your batteries are insta\xe2\x80\xa6'

Tue Apr 20 04:37:41 +0000 2021,"b""RT @TataSteelLtd: Medical oxygen is critical to the treatment of #COVID19 patients. Responding to the National urgency, we're supplying 200\xe2\x80\xa6"""

Tue Apr 20 04:38:02 +0000 2021,"b'PM @narendramodi may drop visit to Portugal, France amid covid surge in India\n\nhttps://t.co/1TgmI8nrBG https://t.co/eoWiRxdtN4'"

Tue Apr 20 04:38:06 +0000 2021,b'@TataMotors_Cars @_umeshsaini Waiting period 5+ months in Bangalore for Nexon'

Tue Apr 20 04:38:11 +0000 2021,b'RT @yash_chaukse: \xf0\x9f\x9a\xa8 Emergency #Urgent Requirement of 2 dose of #Remdisivir in Rewari Haryana Patient is Very Critical Please Someone help h\xe2\x80\xa6'

Tue Apr 20 04:38:13 +0000 2021,b'@nsitharaman @FinMinIndia @500Gujarat @HospitalsApollo @TCS @Maruti_Corp @HeroMotoCorp @narendramodi @mygovindia @SecyDIPAM @cabsect_india #GST\nCORRUPT MLA MP?\n#RBI\nBank Scam?\nBogus Govt Tender TAX Loot?SCAM @PMOIndia @rashtrapatibhvn @DFS_India\n#MSME\nGOVT Share%Bribe?\nPpls-Grievance?Ignore?@RBI @VPSecretariat\n@FinMinIndia\n@GST_Council\n@DARPG_GoI @DOPTgoi\n@ECISVEEP https://t.co/fqk7JxYXnW'

Tue Apr 20 04:38:14 +0000 2021,b'RT @Wanderlust0O7: @ShayaanMalik @kakar_harsha @ImranKhanPTI @fawadchaudhry India did the same to UK in December last year\xf0\x9f\x98\x82\n\nIts normal pro\xe2\x80\xa6'

Tue Apr 20 04:38:19 +0000 2021,b'RT @kaul_vivek: What Rahul Dravid Becoming Indira Nagar ka Gunda Tells Us About Global Economy.\n\nThere is too much money floating around in\xe2\x80\xa6'

Tue Apr 20 04:38:23 +0000 2021,b'RT @IPL: Safari Super Striker of the Match between @ChennaiIPL and @rajasthanroyals is Faf du Plessis.\n\n@TataMotors_Cars #SafariSuperStrike\xe2\x80\xa6'

Tue Apr 20 04:38:27 +0000 2021,b'RT @Abhishekbhatt11: @RBI @HDFC_Bank @AxisBank @ICICIBank @KotakBankLtd @anandmahindra @rblbank @Indus_IndBank  r retail bankers covid proo\xe2\x80\xa6'

Tue Apr 20 04:38:28 +0000 2021,"b'@gautam_adani @Subbaraz Sir, Please announce a Reward and Award for his Out of the World Bravery n Selfless Act of absolute Courage. Requesting to do this so that whole world notices such Selfless Acts.\n@anandmahindra @hvgoenka @hcmariwala @RishadPremji'"

Tue Apr 20 04:38:31 +0000 2021,"b""Have #trading questions in mind? \xf0\x9f\xa4\x94 Well, @TradersCorner \xf0\x9f\x91\x94 is here for you! \n\nAsk away all your questions now by using #AskTheTrader and tag us. \n\nWe will go Live with Mr. @AshishChatur of @sanctum_wealth this #Friday. Don't miss out! \xe2\x9a\xa1 https://t.co/rqySyvZZ8S"""

Tue Apr 20 04:38:49 +0000 2021,"b'Dear sir Greetings from Deepak Deshmukh\n@RNTata2000,@anandmahindra  I do not how to tell you for help, I m rnning restaurant near murbad Hotel Rajyog residency, for last year n half we struggling to survive, however this time covid -2, I am losing my \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\xae\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xa4. Pl help if you can'"

Tue Apr 20 04:38:51 +0000 2021,"b""@abhishekdesai @livemint I'm already very chill bro, thanks."""

Tue Apr 20 04:38:52 +0000 2021,"b""Sad loss to India's favorite travel blogger."""

Tue Apr 20 04:38:54 +0000 2021,b'RT @anandmahindra: Hilarious. \xe2\x81\xa6@adarpoonawalla\xe2\x81\xa9 you have a readymade advertising brief. Vaccines are forever... https://t.co/smFjCBTH6l'

